ANO,BRASIL,MUNDO,FR BRASIL,FR MUNDO,DR BRASIL,DR MUNDO,BR BRASIL,BR MUNDO,LE BRASIL,LE MUNDO
2085,  202 559, 10 430 313,"1,62","1,90","14,1","11,4","8,2","11,5","86,4","80,7"
2086,  201 358, 10 431 046,"1,62","1,90","14,2","11,4","8,2","11,4","86,5","80,8"
2087,  200 164, 10 430 807,"1,62","1,89","14,2","11,5","8,2","11,4","86,6","80,9"
2088,  198 968, 10 429 728,"1,63","1,89","14,2","11,5","8,2","11,3","86,8","81,0"
2089,  197 780, 10 427 933,"1,63","1,88","14,2","11,5","8,2","11,2","86,9","81,1"
2090,  196 595, 10 425 269,"1,62","1,88","14,2","11,5","8,1","11,2","87,0","81,2"
2091,  195 411, 10 421 813,"1,62","1,87","14,2","11,6","8,1","11,1","87,1","81,2"
2092,  194 233, 10 417 482,"1,63","1,87","14,2","11,6","8,1","11,1","87,3","81,3"
2093,  193 062, 10 412 438,"1,63","1,86","14,2","11,6","8,1","11,0","87,4","81,4"
2094,  191 899, 10 406 544,"1,63","1,86","14,1","11,6","8,1","11,0","87,5","81,5"
2095,  190 744, 10 400 000,"1,63","1,86","14,1","11,7","8,1","11,0","87,6","81,6"
2096,  189 593, 10 392 611,"1,64","1,85","14,1","11,7","8,1","10,9","87,7","81,7"
2097,  188 458, 10 384 423,"1,64","1,85","14,1","11,8","8,1","10,9","87,9","81,8"
2098,  187 335, 10 375 354,"1,64","1,84","14,1","11,8","8,1","10,8","88,0","81,9"
2099,  186 215, 10 365 536,"1,63","1,84","14,1","11,8","8,1","10,8","88,1","82,0"
2100,  185 102, 10 355 002,"1,63","1,84","14,1","11,9","8,0","10,8","88,2","82,1"
